text,clean_text,topic,year,sentiment
The committee acknowledges the successful implementation of digital transformation programmes across provinces.,the committee acknowledges the successful implementation of digital transformation programmes across provinces,Digital Transformation,2023,positive
"Despite promises, water infrastructure remains in crisis. Urgent intervention is required.",despite promises water infrastructure remains in crisis urgent intervention is required,Water Infrastructure,2023,negative
The committee acknowledges the successful implementation of crime prevention programmes across provinces.,the committee acknowledges the successful implementation of crime prevention programmes across provinces,Crime Prevention,2023,positive
The minister presented statistics on energy crisis for the current financial year.,the minister presented statistics on energy crisis for the current financial year,Energy Crisis,2021,neutral
The department submitted its economic growth quarterly report as required.,the department submitted its economic growth quarterly report as required,Economic Growth,2020,neutral
We welcome the increased budget allocation for transport budget. This will benefit many South Africans.,we welcome the increased budget allocation for transport budget this will benefit many south africans,Transport Budget,2022,positive
Members debated various aspects of energy crisis policy during the session.,members debated various aspects of energy crisis policy during the session,Energy Crisis,2021,neutral
The committee reviewed the water infrastructure report and noted the findings for further discussion.,the committee reviewed the water infrastructure report and noted the findings for further discussion,Water Infrastructure,2019,neutral
"Despite promises, transport budget remains in crisis. Urgent intervention is required.",despite promises transport budget remains in crisis urgent intervention is required,Transport Budget,2019,negative
The failure to address transport budget is deeply concerning. Communities continue to suffer.,the failure to address transport budget is deeply concerning communities continue to suffer,Transport Budget,2021,negative
A briefing on crime prevention was provided to the portfolio committee members.,a briefing on crime prevention was provided to the portfolio committee members,Crime Prevention,2020,neutral
A briefing on housing policy was provided to the portfolio committee members.,a briefing on housing policy was provided to the portfolio committee members,Housing Policy,2019,neutral
We welcome the increased budget allocation for education policy. This will benefit many South Africans.,we welcome the increased budget allocation for education policy this will benefit many south africans,Education Policy,2020,positive
The mismanagement of water infrastructure funds has led to widespread service delivery failures.,the mismanagement of water infrastructure funds has led to widespread service delivery failures,Water Infrastructure,2019,negative
The committee reviewed the education policy report and noted the findings for further discussion.,the committee reviewed the education policy report and noted the findings for further discussion,Education Policy,2021,neutral
The failure to address healthcare budget is deeply concerning. Communities continue to suffer.,the failure to address healthcare budget is deeply concerning communities continue to suffer,Healthcare Budget,2023,negative
The progress on education policy demonstrates our commitment to building a better South Africa.,the progress on education policy demonstrates our commitment to building a better south africa,Education Policy,2020,positive
The minister presented statistics on digital transformation for the current financial year.,the minister presented statistics on digital transformation for the current financial year,Digital Transformation,2022,neutral
We welcome the increased budget allocation for housing policy. This will benefit many South Africans.,we welcome the increased budget allocation for housing policy this will benefit many south africans,Housing Policy,2023,positive
The failure to address healthcare budget is deeply concerning. Communities continue to suffer.,the failure to address healthcare budget is deeply concerning communities continue to suffer,Healthcare Budget,2021,negative
The budget cuts to transport budget are unacceptable and will harm vulnerable populations.,the budget cuts to transport budget are unacceptable and will harm vulnerable populations,Transport Budget,2023,negative
The budget cuts to energy crisis are unacceptable and will harm vulnerable populations.,the budget cuts to energy crisis are unacceptable and will harm vulnerable populations,Energy Crisis,2022,negative
"Despite promises, digital transformation remains in crisis. Urgent intervention is required.",despite promises digital transformation remains in crisis urgent intervention is required,Digital Transformation,2021,negative
I am pleased to report that water infrastructure initiatives have yielded positive results for our communities.,i am pleased to report that water infrastructure initiatives have yielded positive results for our communities,Water Infrastructure,2019,positive
The government has made significant progress in housing policy this year. We commend the efforts.,the government has made significant progress in housing policy this year we commend the efforts,Housing Policy,2022,positive
The committee acknowledges the successful implementation of transport budget programmes across provinces.,the committee acknowledges the successful implementation of transport budget programmes across provinces,Transport Budget,2020,positive
The committee reviewed the water infrastructure report and noted the findings for further discussion.,the committee reviewed the water infrastructure report and noted the findings for further discussion,Water Infrastructure,2020,neutral
The failure to address energy crisis is deeply concerning. Communities continue to suffer.,the failure to address energy crisis is deeply concerning communities continue to suffer,Energy Crisis,2020,negative
The committee reviewed the crime prevention report and noted the findings for further discussion.,the committee reviewed the crime prevention report and noted the findings for further discussion,Crime Prevention,2021,neutral
"Despite promises, transport budget remains in crisis. Urgent intervention is required.",despite promises transport budget remains in crisis urgent intervention is required,Transport Budget,2021,negative
"Despite promises, housing policy remains in crisis. Urgent intervention is required.",despite promises housing policy remains in crisis urgent intervention is required,Housing Policy,2019,negative
The committee acknowledges the successful implementation of education policy programmes across provinces.,the committee acknowledges the successful implementation of education policy programmes across provinces,Education Policy,2022,positive
Members debated various aspects of transport budget policy during the session.,members debated various aspects of transport budget policy during the session,Transport Budget,2023,neutral
The mismanagement of healthcare budget funds has led to widespread service delivery failures.,the mismanagement of healthcare budget funds has led to widespread service delivery failures,Healthcare Budget,2021,negative
The government has made significant progress in transport budget this year. We commend the efforts.,the government has made significant progress in transport budget this year we commend the efforts,Transport Budget,2022,positive
The government has made significant progress in crime prevention this year. We commend the efforts.,the government has made significant progress in crime prevention this year we commend the efforts,Crime Prevention,2021,positive
The budget cuts to education policy are unacceptable and will harm vulnerable populations.,the budget cuts to education policy are unacceptable and will harm vulnerable populations,Education Policy,2021,negative
The committee acknowledges the successful implementation of economic growth programmes across provinces.,the committee acknowledges the successful implementation of economic growth programmes across provinces,Economic Growth,2023,positive
Members debated various aspects of economic growth policy during the session.,members debated various aspects of economic growth policy during the session,Economic Growth,2021,neutral
The failure to address crime prevention is deeply concerning. Communities continue to suffer.,the failure to address crime prevention is deeply concerning communities continue to suffer,Crime Prevention,2022,negative
We welcome the increased budget allocation for crime prevention. This will benefit many South Africans.,we welcome the increased budget allocation for crime prevention this will benefit many south africans,Crime Prevention,2021,positive
A briefing on land reform was provided to the portfolio committee members.,a briefing on land reform was provided to the portfolio committee members,Land Reform,2019,neutral
The committee reviewed the crime prevention report and noted the findings for further discussion.,the committee reviewed the crime prevention report and noted the findings for further discussion,Crime Prevention,2022,neutral
The department submitted its crime prevention quarterly report as required.,the department submitted its crime prevention quarterly report as required,Crime Prevention,2019,neutral
The department submitted its land reform quarterly report as required.,the department submitted its land reform quarterly report as required,Land Reform,2022,neutral
The committee acknowledges the successful implementation of crime prevention programmes across provinces.,the committee acknowledges the successful implementation of crime prevention programmes across provinces,Crime Prevention,2019,positive
The budget cuts to healthcare budget are unacceptable and will harm vulnerable populations.,the budget cuts to healthcare budget are unacceptable and will harm vulnerable populations,Healthcare Budget,2020,negative
I am pleased to report that housing policy initiatives have yielded positive results for our communities.,i am pleased to report that housing policy initiatives have yielded positive results for our communities,Housing Policy,2020,positive
The committee reviewed the digital transformation report and noted the findings for further discussion.,the committee reviewed the digital transformation report and noted the findings for further discussion,Digital Transformation,2019,neutral
Members debated various aspects of transport budget policy during the session.,members debated various aspects of transport budget policy during the session,Transport Budget,2023,neutral
The failure to address water infrastructure is deeply concerning. Communities continue to suffer.,the failure to address water infrastructure is deeply concerning communities continue to suffer,Water Infrastructure,2020,negative
The committee reviewed the housing policy report and noted the findings for further discussion.,the committee reviewed the housing policy report and noted the findings for further discussion,Housing Policy,2020,neutral
A briefing on energy crisis was provided to the portfolio committee members.,a briefing on energy crisis was provided to the portfolio committee members,Energy Crisis,2019,neutral
We condemn the lack of progress on land reform. The government must be held accountable.,we condemn the lack of progress on land reform the government must be held accountable,Land Reform,2022,negative
The failure to address healthcare budget is deeply concerning. Communities continue to suffer.,the failure to address healthcare budget is deeply concerning communities continue to suffer,Healthcare Budget,2021,negative
We condemn the lack of progress on digital transformation. The government must be held accountable.,we condemn the lack of progress on digital transformation the government must be held accountable,Digital Transformation,2023,negative
I am pleased to report that digital transformation initiatives have yielded positive results for our communities.,i am pleased to report that digital transformation initiatives have yielded positive results for our communities,Digital Transformation,2022,positive
"Despite promises, economic growth remains in crisis. Urgent intervention is required.",despite promises economic growth remains in crisis urgent intervention is required,Economic Growth,2021,negative
"Despite promises, crime prevention remains in crisis. Urgent intervention is required.",despite promises crime prevention remains in crisis urgent intervention is required,Crime Prevention,2023,negative
"Despite promises, crime prevention remains in crisis. Urgent intervention is required.",despite promises crime prevention remains in crisis urgent intervention is required,Crime Prevention,2023,negative
The mismanagement of land reform funds has led to widespread service delivery failures.,the mismanagement of land reform funds has led to widespread service delivery failures,Land Reform,2022,negative
The failure to address healthcare budget is deeply concerning. Communities continue to suffer.,the failure to address healthcare budget is deeply concerning communities continue to suffer,Healthcare Budget,2021,negative
I am pleased to report that housing policy initiatives have yielded positive results for our communities.,i am pleased to report that housing policy initiatives have yielded positive results for our communities,Housing Policy,2022,positive
The progress on water infrastructure demonstrates our commitment to building a better South Africa.,the progress on water infrastructure demonstrates our commitment to building a better south africa,Water Infrastructure,2020,positive
The mismanagement of water infrastructure funds has led to widespread service delivery failures.,the mismanagement of water infrastructure funds has led to widespread service delivery failures,Water Infrastructure,2022,negative
I am pleased to report that education policy initiatives have yielded positive results for our communities.,i am pleased to report that education policy initiatives have yielded positive results for our communities,Education Policy,2019,positive
The department submitted its economic growth quarterly report as required.,the department submitted its economic growth quarterly report as required,Economic Growth,2023,neutral
The department submitted its education policy quarterly report as required.,the department submitted its education policy quarterly report as required,Education Policy,2023,neutral
The committee acknowledges the successful implementation of water infrastructure programmes across provinces.,the committee acknowledges the successful implementation of water infrastructure programmes across provinces,Water Infrastructure,2020,positive
We welcome the increased budget allocation for crime prevention. This will benefit many South Africans.,we welcome the increased budget allocation for crime prevention this will benefit many south africans,Crime Prevention,2023,positive
The progress on crime prevention demonstrates our commitment to building a better South Africa.,the progress on crime prevention demonstrates our commitment to building a better south africa,Crime Prevention,2022,positive
A briefing on digital transformation was provided to the portfolio committee members.,a briefing on digital transformation was provided to the portfolio committee members,Digital Transformation,2023,neutral
We condemn the lack of progress on education policy. The government must be held accountable.,we condemn the lack of progress on education policy the government must be held accountable,Education Policy,2023,negative
Members debated various aspects of digital transformation policy during the session.,members debated various aspects of digital transformation policy during the session,Digital Transformation,2022,neutral
The budget cuts to energy crisis are unacceptable and will harm vulnerable populations.,the budget cuts to energy crisis are unacceptable and will harm vulnerable populations,Energy Crisis,2020,negative
The mismanagement of digital transformation funds has led to widespread service delivery failures.,the mismanagement of digital transformation funds has led to widespread service delivery failures,Digital Transformation,2023,negative
The failure to address energy crisis is deeply concerning. Communities continue to suffer.,the failure to address energy crisis is deeply concerning communities continue to suffer,Energy Crisis,2020,negative
The budget cuts to energy crisis are unacceptable and will harm vulnerable populations.,the budget cuts to energy crisis are unacceptable and will harm vulnerable populations,Energy Crisis,2020,negative
The budget cuts to education policy are unacceptable and will harm vulnerable populations.,the budget cuts to education policy are unacceptable and will harm vulnerable populations,Education Policy,2021,negative
The failure to address crime prevention is deeply concerning. Communities continue to suffer.,the failure to address crime prevention is deeply concerning communities continue to suffer,Crime Prevention,2019,negative
The department submitted its housing policy quarterly report as required.,the department submitted its housing policy quarterly report as required,Housing Policy,2022,neutral
The committee acknowledges the successful implementation of healthcare budget programmes across provinces.,the committee acknowledges the successful implementation of healthcare budget programmes across provinces,Healthcare Budget,2020,positive
I am pleased to report that water infrastructure initiatives have yielded positive results for our communities.,i am pleased to report that water infrastructure initiatives have yielded positive results for our communities,Water Infrastructure,2023,positive
The committee acknowledges the successful implementation of digital transformation programmes across provinces.,the committee acknowledges the successful implementation of digital transformation programmes across provinces,Digital Transformation,2020,positive
The mismanagement of transport budget funds has led to widespread service delivery failures.,the mismanagement of transport budget funds has led to widespread service delivery failures,Transport Budget,2020,negative
"Despite promises, healthcare budget remains in crisis. Urgent intervention is required.",despite promises healthcare budget remains in crisis urgent intervention is required,Healthcare Budget,2023,negative
A briefing on transport budget was provided to the portfolio committee members.,a briefing on transport budget was provided to the portfolio committee members,Transport Budget,2019,neutral
The failure to address digital transformation is deeply concerning. Communities continue to suffer.,the failure to address digital transformation is deeply concerning communities continue to suffer,Digital Transformation,2021,negative
The failure to address land reform is deeply concerning. Communities continue to suffer.,the failure to address land reform is deeply concerning communities continue to suffer,Land Reform,2020,negative
"Despite promises, water infrastructure remains in crisis. Urgent intervention is required.",despite promises water infrastructure remains in crisis urgent intervention is required,Water Infrastructure,2023,negative
The minister presented statistics on education policy for the current financial year.,the minister presented statistics on education policy for the current financial year,Education Policy,2019,neutral
"Despite promises, transport budget remains in crisis. Urgent intervention is required.",despite promises transport budget remains in crisis urgent intervention is required,Transport Budget,2019,negative
The budget cuts to transport budget are unacceptable and will harm vulnerable populations.,the budget cuts to transport budget are unacceptable and will harm vulnerable populations,Transport Budget,2021,negative
The government has made significant progress in education policy this year. We commend the efforts.,the government has made significant progress in education policy this year we commend the efforts,Education Policy,2023,positive
We welcome the increased budget allocation for land reform. This will benefit many South Africans.,we welcome the increased budget allocation for land reform this will benefit many south africans,Land Reform,2022,positive
The mismanagement of land reform funds has led to widespread service delivery failures.,the mismanagement of land reform funds has led to widespread service delivery failures,Land Reform,2023,negative
The budget cuts to land reform are unacceptable and will harm vulnerable populations.,the budget cuts to land reform are unacceptable and will harm vulnerable populations,Land Reform,2022,negative
The department submitted its crime prevention quarterly report as required.,the department submitted its crime prevention quarterly report as required,Crime Prevention,2019,neutral
The mismanagement of crime prevention funds has led to widespread service delivery failures.,the mismanagement of crime prevention funds has led to widespread service delivery failures,Crime Prevention,2020,negative
The minister presented statistics on land reform for the current financial year.,the minister presented statistics on land reform for the current financial year,Land Reform,2021,neutral
Members debated various aspects of healthcare budget policy during the session.,members debated various aspects of healthcare budget policy during the session,Healthcare Budget,2019,neutral
The mismanagement of digital transformation funds has led to widespread service delivery failures.,the mismanagement of digital transformation funds has led to widespread service delivery failures,Digital Transformation,2023,negative
The committee acknowledges the successful implementation of housing policy programmes across provinces.,the committee acknowledges the successful implementation of housing policy programmes across provinces,Housing Policy,2020,positive
The progress on digital transformation demonstrates our commitment to building a better South Africa.,the progress on digital transformation demonstrates our commitment to building a better south africa,Digital Transformation,2023,positive
The committee reviewed the economic growth report and noted the findings for further discussion.,the committee reviewed the economic growth report and noted the findings for further discussion,Economic Growth,2023,neutral
The department submitted its economic growth quarterly report as required.,the department submitted its economic growth quarterly report as required,Economic Growth,2019,neutral
The budget cuts to energy crisis are unacceptable and will harm vulnerable populations.,the budget cuts to energy crisis are unacceptable and will harm vulnerable populations,Energy Crisis,2022,negative
Members debated various aspects of economic growth policy during the session.,members debated various aspects of economic growth policy during the session,Economic Growth,2020,neutral
The progress on land reform demonstrates our commitment to building a better South Africa.,the progress on land reform demonstrates our commitment to building a better south africa,Land Reform,2021,positive
"Despite promises, healthcare budget remains in crisis. Urgent intervention is required.",despite promises healthcare budget remains in crisis urgent intervention is required,Healthcare Budget,2020,negative
The government has made significant progress in housing policy this year. We commend the efforts.,the government has made significant progress in housing policy this year we commend the efforts,Housing Policy,2019,positive
"Despite promises, land reform remains in crisis. Urgent intervention is required.",despite promises land reform remains in crisis urgent intervention is required,Land Reform,2019,negative
The progress on education policy demonstrates our commitment to building a better South Africa.,the progress on education policy demonstrates our commitment to building a better south africa,Education Policy,2019,positive
The department submitted its economic growth quarterly report as required.,the department submitted its economic growth quarterly report as required,Economic Growth,2023,neutral
The committee acknowledges the successful implementation of crime prevention programmes across provinces.,the committee acknowledges the successful implementation of crime prevention programmes across provinces,Crime Prevention,2023,positive
We welcome the increased budget allocation for crime prevention. This will benefit many South Africans.,we welcome the increased budget allocation for crime prevention this will benefit many south africans,Crime Prevention,2021,positive
The failure to address transport budget is deeply concerning. Communities continue to suffer.,the failure to address transport budget is deeply concerning communities continue to suffer,Transport Budget,2019,negative
The failure to address education policy is deeply concerning. Communities continue to suffer.,the failure to address education policy is deeply concerning communities continue to suffer,Education Policy,2021,negative
A briefing on digital transformation was provided to the portfolio committee members.,a briefing on digital transformation was provided to the portfolio committee members,Digital Transformation,2022,neutral
We welcome the increased budget allocation for crime prevention. This will benefit many South Africans.,we welcome the increased budget allocation for crime prevention this will benefit many south africans,Crime Prevention,2022,positive
We condemn the lack of progress on digital transformation. The government must be held accountable.,we condemn the lack of progress on digital transformation the government must be held accountable,Digital Transformation,2022,negative
The committee reviewed the crime prevention report and noted the findings for further discussion.,the committee reviewed the crime prevention report and noted the findings for further discussion,Crime Prevention,2021,neutral
The mismanagement of transport budget funds has led to widespread service delivery failures.,the mismanagement of transport budget funds has led to widespread service delivery failures,Transport Budget,2022,negative
The minister presented statistics on land reform for the current financial year.,the minister presented statistics on land reform for the current financial year,Land Reform,2020,neutral
We condemn the lack of progress on crime prevention. The government must be held accountable.,we condemn the lack of progress on crime prevention the government must be held accountable,Crime Prevention,2020,negative
The department submitted its housing policy quarterly report as required.,the department submitted its housing policy quarterly report as required,Housing Policy,2021,neutral
The government has made significant progress in crime prevention this year. We commend the efforts.,the government has made significant progress in crime prevention this year we commend the efforts,Crime Prevention,2019,positive
The minister presented statistics on healthcare budget for the current financial year.,the minister presented statistics on healthcare budget for the current financial year,Healthcare Budget,2019,neutral
The minister presented statistics on crime prevention for the current financial year.,the minister presented statistics on crime prevention for the current financial year,Crime Prevention,2019,neutral
The committee reviewed the education policy report and noted the findings for further discussion.,the committee reviewed the education policy report and noted the findings for further discussion,Education Policy,2020,neutral
We welcome the increased budget allocation for land reform. This will benefit many South Africans.,we welcome the increased budget allocation for land reform this will benefit many south africans,Land Reform,2023,positive
The budget cuts to education policy are unacceptable and will harm vulnerable populations.,the budget cuts to education policy are unacceptable and will harm vulnerable populations,Education Policy,2023,negative
The mismanagement of crime prevention funds has led to widespread service delivery failures.,the mismanagement of crime prevention funds has led to widespread service delivery failures,Crime Prevention,2023,negative
The department submitted its digital transformation quarterly report as required.,the department submitted its digital transformation quarterly report as required,Digital Transformation,2019,neutral
The progress on transport budget demonstrates our commitment to building a better South Africa.,the progress on transport budget demonstrates our commitment to building a better south africa,Transport Budget,2021,positive
I am pleased to report that energy crisis initiatives have yielded positive results for our communities.,i am pleased to report that energy crisis initiatives have yielded positive results for our communities,Energy Crisis,2019,positive
I am pleased to report that housing policy initiatives have yielded positive results for our communities.,i am pleased to report that housing policy initiatives have yielded positive results for our communities,Housing Policy,2020,positive
Members debated various aspects of economic growth policy during the session.,members debated various aspects of economic growth policy during the session,Economic Growth,2021,neutral
The budget cuts to education policy are unacceptable and will harm vulnerable populations.,the budget cuts to education policy are unacceptable and will harm vulnerable populations,Education Policy,2023,negative
The mismanagement of transport budget funds has led to widespread service delivery failures.,the mismanagement of transport budget funds has led to widespread service delivery failures,Transport Budget,2023,negative
Members debated various aspects of healthcare budget policy during the session.,members debated various aspects of healthcare budget policy during the session,Healthcare Budget,2022,neutral
The budget cuts to economic growth are unacceptable and will harm vulnerable populations.,the budget cuts to economic growth are unacceptable and will harm vulnerable populations,Economic Growth,2020,negative
The committee reviewed the land reform report and noted the findings for further discussion.,the committee reviewed the land reform report and noted the findings for further discussion,Land Reform,2022,neutral
We condemn the lack of progress on economic growth. The government must be held accountable.,we condemn the lack of progress on economic growth the government must be held accountable,Economic Growth,2022,negative
A briefing on land reform was provided to the portfolio committee members.,a briefing on land reform was provided to the portfolio committee members,Land Reform,2023,neutral
The committee reviewed the digital transformation report and noted the findings for further discussion.,the committee reviewed the digital transformation report and noted the findings for further discussion,Digital Transformation,2020,neutral
The mismanagement of energy crisis funds has led to widespread service delivery failures.,the mismanagement of energy crisis funds has led to widespread service delivery failures,Energy Crisis,2020,negative
The budget cuts to healthcare budget are unacceptable and will harm vulnerable populations.,the budget cuts to healthcare budget are unacceptable and will harm vulnerable populations,Healthcare Budget,2021,negative
"Despite promises, land reform remains in crisis. Urgent intervention is required.",despite promises land reform remains in crisis urgent intervention is required,Land Reform,2021,negative
The minister presented statistics on housing policy for the current financial year.,the minister presented statistics on housing policy for the current financial year,Housing Policy,2019,neutral
The mismanagement of land reform funds has led to widespread service delivery failures.,the mismanagement of land reform funds has led to widespread service delivery failures,Land Reform,2020,negative
The progress on digital transformation demonstrates our commitment to building a better South Africa.,the progress on digital transformation demonstrates our commitment to building a better south africa,Digital Transformation,2023,positive
The progress on healthcare budget demonstrates our commitment to building a better South Africa.,the progress on healthcare budget demonstrates our commitment to building a better south africa,Healthcare Budget,2023,positive
We welcome the increased budget allocation for economic growth. This will benefit many South Africans.,we welcome the increased budget allocation for economic growth this will benefit many south africans,Economic Growth,2019,positive
Members debated various aspects of digital transformation policy during the session.,members debated various aspects of digital transformation policy during the session,Digital Transformation,2019,neutral
The committee acknowledges the successful implementation of transport budget programmes across provinces.,the committee acknowledges the successful implementation of transport budget programmes across provinces,Transport Budget,2019,positive
The government has made significant progress in education policy this year. We commend the efforts.,the government has made significant progress in education policy this year we commend the efforts,Education Policy,2019,positive
We welcome the increased budget allocation for land reform. This will benefit many South Africans.,we welcome the increased budget allocation for land reform this will benefit many south africans,Land Reform,2020,positive
The mismanagement of water infrastructure funds has led to widespread service delivery failures.,the mismanagement of water infrastructure funds has led to widespread service delivery failures,Water Infrastructure,2020,negative
The committee acknowledges the successful implementation of digital transformation programmes across provinces.,the committee acknowledges the successful implementation of digital transformation programmes across provinces,Digital Transformation,2021,positive
The mismanagement of water infrastructure funds has led to widespread service delivery failures.,the mismanagement of water infrastructure funds has led to widespread service delivery failures,Water Infrastructure,2022,negative
The budget cuts to healthcare budget are unacceptable and will harm vulnerable populations.,the budget cuts to healthcare budget are unacceptable and will harm vulnerable populations,Healthcare Budget,2021,negative
Members debated various aspects of transport budget policy during the session.,members debated various aspects of transport budget policy during the session,Transport Budget,2022,neutral
"Despite promises, water infrastructure remains in crisis. Urgent intervention is required.",despite promises water infrastructure remains in crisis urgent intervention is required,Water Infrastructure,2020,negative
The committee reviewed the transport budget report and noted the findings for further discussion.,the committee reviewed the transport budget report and noted the findings for further discussion,Transport Budget,2022,neutral
The mismanagement of energy crisis funds has led to widespread service delivery failures.,the mismanagement of energy crisis funds has led to widespread service delivery failures,Energy Crisis,2019,negative
The government has made significant progress in healthcare budget this year. We commend the efforts.,the government has made significant progress in healthcare budget this year we commend the efforts,Healthcare Budget,2020,positive
"Despite promises, land reform remains in crisis. Urgent intervention is required.",despite promises land reform remains in crisis urgent intervention is required,Land Reform,2023,negative
The budget cuts to digital transformation are unacceptable and will harm vulnerable populations.,the budget cuts to digital transformation are unacceptable and will harm vulnerable populations,Digital Transformation,2021,negative
The mismanagement of economic growth funds has led to widespread service delivery failures.,the mismanagement of economic growth funds has led to widespread service delivery failures,Economic Growth,2019,negative
The committee acknowledges the successful implementation of economic growth programmes across provinces.,the committee acknowledges the successful implementation of economic growth programmes across provinces,Economic Growth,2022,positive
The minister presented statistics on housing policy for the current financial year.,the minister presented statistics on housing policy for the current financial year,Housing Policy,2021,neutral
A briefing on housing policy was provided to the portfolio committee members.,a briefing on housing policy was provided to the portfolio committee members,Housing Policy,2020,neutral
The committee acknowledges the successful implementation of energy crisis programmes across provinces.,the committee acknowledges the successful implementation of energy crisis programmes across provinces,Energy Crisis,2019,positive
Members debated various aspects of transport budget policy during the session.,members debated various aspects of transport budget policy during the session,Transport Budget,2021,neutral
Members debated various aspects of land reform policy during the session.,members debated various aspects of land reform policy during the session,Land Reform,2023,neutral
The committee reviewed the economic growth report and noted the findings for further discussion.,the committee reviewed the economic growth report and noted the findings for further discussion,Economic Growth,2022,neutral
I am pleased to report that energy crisis initiatives have yielded positive results for our communities.,i am pleased to report that energy crisis initiatives have yielded positive results for our communities,Energy Crisis,2019,positive
"Despite promises, economic growth remains in crisis. Urgent intervention is required.",despite promises economic growth remains in crisis urgent intervention is required,Economic Growth,2021,negative
I am pleased to report that land reform initiatives have yielded positive results for our communities.,i am pleased to report that land reform initiatives have yielded positive results for our communities,Land Reform,2020,positive
I am pleased to report that crime prevention initiatives have yielded positive results for our communities.,i am pleased to report that crime prevention initiatives have yielded positive results for our communities,Crime Prevention,2022,positive
The department submitted its housing policy quarterly report as required.,the department submitted its housing policy quarterly report as required,Housing Policy,2019,neutral
The minister presented statistics on transport budget for the current financial year.,the minister presented statistics on transport budget for the current financial year,Transport Budget,2021,neutral
A briefing on education policy was provided to the portfolio committee members.,a briefing on education policy was provided to the portfolio committee members,Education Policy,2022,neutral
The government has made significant progress in healthcare budget this year. We commend the efforts.,the government has made significant progress in healthcare budget this year we commend the efforts,Healthcare Budget,2021,positive
The government has made significant progress in healthcare budget this year. We commend the efforts.,the government has made significant progress in healthcare budget this year we commend the efforts,Healthcare Budget,2021,positive
The department submitted its housing policy quarterly report as required.,the department submitted its housing policy quarterly report as required,Housing Policy,2022,neutral
A briefing on housing policy was provided to the portfolio committee members.,a briefing on housing policy was provided to the portfolio committee members,Housing Policy,2023,neutral
